neighborhood,stationID,stationName,latitude,longitude,eventCount,types,time,value
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 1:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 2:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 2:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 3:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 3:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 4:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 4:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 5:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 5:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 6:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 6:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 7:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 7:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 8:00,27
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 8:00,3
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 9:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 9:00,3
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 10:00,27
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 10:00,4
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 11:00,27
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 11:00,4
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 0:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 0:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 13:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 13:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/2/18 14:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/2/18 14:00,3
