neighborhood,Station_Name,latitude,longitude
Bedford-Stuyvesant,Bedford-Nostrand Avs,40.689367,-73.954957
Bedford-Stuyvesant,Bedford-Nostrand Avs,40.6895,-73.955353
Bedford-Stuyvesant,Bedford-Nostrand Avs,40.689543,-73.954998
Bedford-Stuyvesant,Bedford-Nostrand Avs,40.689757,-73.951612
Bedford-Stuyvesant,Bedford-Nostrand Avs,40.689995,-73.951616
Bedford-Stuyvesant,Kosciusko St,40.69293,-73.92825699999999
Bedford-Stuyvesant,Myrtle-Willoughby Avs,40.695436,-73.94948000000001
Bedford-Stuyvesant,Myrtle-Willoughby Avs,40.6955,-73.94896
Bedford-Stuyvesant,Myrtle Av,40.696892999999996,-73.935461
Bedford-Stuyvesant,Myrtle Av,40.696987,-73.935559
Bedford-Stuyvesant,Flushing Av,40.699582,-73.950164
Bedford-Stuyvesant,Flushing Av,40.700629,-73.94199499999999
Bedford-Stuyvesant,Flushing Av,40.700634,-73.942173
Boerum Hill,Pacific St,40.683904999999996,-73.978879
Boerum Hill,Hoyt & Schermerhorn,40.688396000000004,-73.984216
Boerum Hill,Hoyt & Schermerhorn,40.689085,-73.985941
Boerum Hill,Bergen St,40.685445,-73.99113100000001
Boerum Hill,Bergen St,40.686584,-73.990362
Boerum Hill,Bergen St,40.686727000000005,-73.990269
Brooklyn Heights,Borough Hall,40.692489,-73.99119300000001
Brooklyn Heights,Borough Hall,40.693569000000004,-73.990599
Brooklyn Heights,Borough Hall,40.693728,-73.99063000000001
Brooklyn Heights,Court St,40.694232,-73.99263499999999
Brooklyn Heights,Court St,40.694416,-73.99261899999999
Brooklyn Heights,Court St,40.694475,-73.99283
Brooklyn Heights,Clark St,40.697590000000005,-73.993275
Brooklyn Heights,Clark St,40.697649,-73.99306
Brooklyn Heights,High St,40.699405,-73.991413
Carroll Gardens,Carroll St,40.679299,-73.995698
Carroll Gardens,Carroll St,40.679344,-73.995288
Carroll Gardens,Carroll St,40.680806,-73.99435
Carroll Gardens,Carroll St,40.680944000000004,-73.994247
Carroll Gardens,Carroll St,40.681115000000005,-73.994434
Central Park,Cathedral Parkway-110th St,40.800002,-73.958448
Central Park,5th Av,40.764859,-73.973998
Central Park,5th Av,40.764934999999994,-73.974191
Central Park,5th Av,40.765156,-73.972501
Central Park,59th St,40.768648999999996,-73.981184
Chelsea,34th St,40.748746000000004,-73.98877399999999
Chelsea,34th St,40.74895,-73.988623
Chelsea,34th St,40.749615000000006,-73.988159
Chelsea,34th St,40.749845,-73.988254
Chelsea,14th St,40.740944,-74.001402
Chelsea,18th St,40.741015000000004,-73.99758
Chelsea,14th St,40.741046000000004,-74.001284
