neighborhood,StationID,Area,Density
Astoria,25,50.277511150692526,0.49724020596543883
Battery Park City,5,5.382494491693657,0.9289373185083741
Bedford-Stuyvesant,34,85.79926776866895,0.39627377813608416
Boerum Hill,7,6.61499395372352,1.0582020254243414
Brooklyn Heights,10,10.415259400556755,0.9601297111683501
Carroll Gardens,12,9.840913853841712,1.2193989479254936
Central Park,14,38.07554766479207,0.36769004935274
Chelsea,28,29.016331722196924,0.9649738039967523
Chinatown,6,5.35498318388204,1.120451697786726
Civic Center,4,3.530445056773816,1.133001628881111
Clinton Hill,11,15.17269364478262,0.7249866277885687
Cobble Hill,3,4.675521510288891,0.6416396531163935
Columbia St,4,7.725670377339431,0.5177544218987921
Crown Heights,16,63.69722880473212,0.2511883216936958
DUMBO,3,3.136254751635345,0.9565549477240975
Ditmars Steinway,11,58.17656969429749,0.18907955656034886
Downtown Brooklyn,9,9.971357838142513,0.9025851991363837
East Harlem,36,41.29963215985299,0.8716784658192497
East Village,24,19.40779053543915,1.236616808913686
Financial District,18,13.290867662491202,1.3543133869881698
Flatiron District,4,3.698289643222194,1.0815810512112665
Fort Greene,18,17.347198584187787,1.0376315180024083
Governors Island,2,7.509563246938472,0.26632707312444137
Gowanus,14,17.576615533166752,0.796512842508403
Gramercy,6,6.249880957385459,0.9600182852938701
Greenpoint,19,47.09838093190227,0.4034108948983059
Greenwich Village,13,8.018815124090239,1.6211871453358757
Harlem,17,63.839190184522174,0.2662941047789427
Hell's Kitchen,19,24.64591949775837,0.7709186910931894
Kips Bay,8,8.702217706519727,0.9193058907278746
Long Island City,43,88.0837713277495,0.4881716501442926
Lower East Side,20,19.613617729926496,1.0196996941305714
Midtown,42,37.90951171301932,1.107901370979038
Morningside Heights,11,15.228316300199737,0.7223385555667584
Murray Hill,6,7.42815700170122,0.8077373699325231
Navy Yard,4,9.773268585234518,0.40927965553338125
NoHo,1,1.8771868428451526,0.5327120226798271
Nolita,1,1.6437413888013965,0.6083682061015646
Park Slope,19,18.802162550952346,1.01052205822131
Prospect Heights,7,8.611190480307588,0.8128957332912189
Prospect Park,6,25.75087486160282,0.23300179245352987
Prospect-Lefferts Gardens,3,19.262688020905117,0.1557415038204536
Red Hook,15,21.46743019419153,0.6987329114063485
SoHo,10,9.73284518471015,1.027448789148474
South Slope,5,9.397039616531947,0.5320824646949068
Stuyvesant Town,5,5.557789621347153,0.8996382268222758
Sunset Park,3,69.20429308155718,0.043349911781694
Theater District,5,6.098962698945373,0.8198115395696051
Tribeca,13,9.796143458382916,1.3270528402557669
Two Bridges,3,3.495884109638916,0.8581520170329288
Upper East Side,43,48.354467914780095,0.8892663254155374
Upper West Side,41,53.79135516947792,0.762204258859499
Vinegar Hill,3,3.7935164485336865,0.7908229846109127
West Village,12,14.093961347757265,0.8514284737916873
Williamsburg,43,83.54334110310941,0.5147029007007188
