id,stationName,totalDocks
473,Rivington St & Chrystie St,38
474,5 Ave & E 29 St,56
476,E 31 St & 3 Ave,47
477,W 41 St & 8 Ave,58
478,11 Ave & W 41 St,37
479,9 Ave & W 45 St,31
480,W 53 St & 10 Ave,27
481,S 3 St & Bedford Ave,25
482,W 15 St & 7 Ave,77
483,E 12 St & 3 Ave,34
484,W 44 St & 5 Ave,46
485,W 37 St & 5 Ave,40
486,Broadway & W 29 St,41
487,E 20 St & FDR Drive,34
491,E 24 St & Park Ave S,51
492,W 33 St & 7 Ave,68
494,W 26 St & 8 Ave,66
495,W 47 St & 10 Ave,39
496,E 16 St & 5 Ave,47
497,E 17 St & Broadway,66
498,Broadway & W 32 St,30
499,Broadway & W 60 St,36
500,Broadway & W 51 St,52
501,FDR Drive & E 35 St,79
502,Henry St & Grand St,30
503,E 20 St & Park Ave,31
504,1 Ave & E 16 St,53
505,6 Ave & W 33 St,39
507,E 25 St & 2 Ave,45
508,W 46 St & 11 Ave,25
509,9 Ave & W 22 St,63
513,W 56 St & 10 Ave,27
514,12 Ave & W 40 St,52
515,W 43 St & 10 Ave,35
516,E 47 St & 1 Ave,31
517,Pershing Square South,69
518,E 39 St & 2 Ave,39
519,Pershing Square North,69
522,E 51 St & Lexington Ave,51
523,W 38 St & 8 Ave,51
524,W 43 St & 6 Ave,57
525,W 34 St & 11 Ave,56
526,E 33 St & 5 Ave,40
528,2 Ave & E 31 St,39
529,W 42 St & 8 Ave,41
530,11 Ave & W 59 St,24
531,Forsyth St & Broome St,39
532,S 5 Pl & S 5 St,43
533,Broadway & W 38 St,46
534,Water - Whitehall Plaza,31
536,1 Ave & E 30 St,29
539,Metropolitan Ave & Bedford Ave,31
540,Lexington Ave & E 29 St,30
545,E 23 St & 1 Ave,27
546,E 30 St & Park Ave S,45
2000,Front St & Washington St,30
2002,Wythe Ave & Metropolitan Ave,27
2003,1 Ave & E 18 St,54
2005,Railroad Ave & Kay Ave,12
2006,Central Park S & 6 Ave,49
2008,Little West St & 1 Pl,24
2009,Catherine St & Monroe St,35
2010,Grand St & Greene St,0
2012,E 27 St & 1 Ave,36
2017,E 43 St & 2 Ave,39
2021,W 45 St & 8 Ave,43
2022,E 60 St & York Ave,33
2023,E 55 St & Lexington Ave,36
3002,South End Ave & Liberty St,25
3016,Kent Ave & N 7 St,54
3041,Kingston Ave & Herkimer St,24
3042,Fulton St & Utica Ave,19
3043,Lewis Ave & Decatur St,19
3044,Albany Ave & Fulton St,27
3046,Marcus Garvey Blvd & Macon St,19
3047,Halsey St & Tompkins Ave,21
3048,Putnam Ave & Nostrand Ave,19
3049,Cambridge Pl & Gates Ave,18
3050,Putnam Ave & Throop Ave,21
3052,Lewis Ave & Madison St,23
3053,Marcy Ave & Lafayette Ave,23
3054,Greene Ave & Throop Ave,19
3055,Greene Ave & Nostrand Ave,23
3056,Kosciuszko St & Nostrand Ave,23
3057,Kosciuszko St & Tompkins Ave,18
3058,Lewis Ave & Kosciuszko St,24
3059,Pulaski St & Marcus Garvey Blvd,19
3060,Willoughby Ave & Tompkins Ave,19
3061,Throop Ave & Myrtle Ave,21
3062,Myrtle Ave & Marcy Ave,23
3063,Nostrand Ave & Myrtle Ave,20
3064,Myrtle Ave & Lewis Ave,23
3065,Union Ave & Wallabout St,31
3066,Tompkins Ave & Hopkins St,19
3067,Broadway & Whipple St,27
3068,Humboldt St & Varet St,42
3069,Lorimer St & Broadway,29
3070,McKibbin St & Manhattan Ave,23
3071,Boerum St & Broadway,19
3072,Leonard St & Boerum St,24
3074,Montrose Ave & Bushwick Ave,42
3075,Division Ave & Marcy Ave,33
3076,Scholes St & Manhattan Ave,36
3077,Stagg St & Union Ave,33
3078,Broadway & Roebling St,27
3080,S 4 St & Rodney St,21
3081,Graham Ave & Grand St,29
3082,Hope St & Union Ave,25
3083,Bushwick Ave & Powers St,32
3085,Roebling St & N 4 St,25
3086,Graham Ave & Conselyea St,30
3087,Metropolitan Ave & Meeker Ave,30
3088,Union Ave & Jackson St,19
3092,Berry St & N 8 St,27
3093,N 6 St & Bedford Ave,28
3094,Graham Ave & Withers St,18
3095,Graham Ave & Herbert St,26
3096,Union Ave & N 12 St,39
3100,Nassau Ave & Newell St,51
3101,N 12 St & Bedford Ave,27
3102,Driggs Ave & Lorimer St,27
3105,N 15 St & Wythe Ave,24
3106,Driggs Ave & N Henry St,22
3107,Bedford Ave & Nassau Ave,39
3108,Nassau Ave & Russell St,51
3109,Banker St & Meserole Ave,31
3110,Meserole Ave & Manhattan Ave,28
3112,Milton St & Franklin St,33
3113,Greenpoint Ave & Manhattan Ave,27
3115,India St & Manhattan Ave,50
3116,Huron St & Franklin St,35
3117,Franklin St & Dupont St,27
3118,McGuinness Blvd & Eagle St,42
3119,Vernon Blvd & 50 Ave,45
3121,Jackson Ave & 46 Rd,27
3122,48 Ave & 5 St,31
3123,31 St & Thomson Ave,27
3124,46 Ave & 5 St,27
3125,45 Rd & 11 St,23
3126,44 Dr & Jackson Ave,34
3127,9 St & 44 Rd,35
3128,21 St & 43 Ave,23
3129,Queens Plaza North & Crescent St,31
3130,21 St & Queens Plaza North,31
3131,E 68 St & 3 Ave,31
3132,E 59 St & Madison Ave,35
3134,3 Ave & E 62 St,51
3135,E 75 St & 3 Ave,41
3136,5 Ave & E 63 St,47
3137,5 Ave & E 73 St,31
3139,E 72 St & Park Ave,43
3140,1 Ave & E 78 St,55
3141,1 Ave & E 68 St,59
3142,1 Ave & E 62 St,41
3143,5 Ave & E 78 St,47
3144,E 81 St & Park Ave,46
3145,E 84 St & Park Ave,45
3146,E 81 St & 3 Ave,47
3148,E 84 St & 1 Ave,31
3150,E 85 St & York Ave,47
3151,E 81 St & York Ave,43
3152,3 Ave & E 71 St,42
3154,E 77 St & 3 Ave,31
3155,Lexington Ave & E 63 St,39
3156,E 72 St & York Ave,37
3157,East End Ave & E 86 St,27
3158,W 63 St & Broadway,31
3159,W 67 St & Broadway,31
3160,Central Park West & W 76 St,39
3161,W 76 St & Columbus Ave,59
3162,W 78 St & Broadway,39
3163,Central Park West & W 68 St,43
3164,Columbus Ave & W 72 St,67
