StationID,StationName,Latitude,Longitude,EventCount
72,W 52 St & 11 Ave,40.76727216,-73.99392888,2797
79,Franklin St & W Broadway,40.71911552,-74.00666661,2092
82,St James Pl & Pearl St,40.71117416,-74.00016545,771
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1079
119,Park Ave & St Edwards St,40.69608941,-73.97803415,221
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,786
127,Barrow St & Hudson St,40.73172428,-74.00674436,4270
128,MacDougal St & Prince St,40.72710258,-74.00297088,4735
143,Clinton St & Joralemon St,40.69239502,-73.99337909,1738
144,Nassau St & Navy St,40.69839895,-73.98068914,565
146,Hudson St & Reade St,40.71625008,-74.0091059,2055
150,E 2 St & Avenue C,40.7208736,-73.98085795,2113
151,Cleveland Pl & Spring St,40.72210379,-73.99724901,5352
152,Warren St & Church St,40.71473993,-74.00910627,339
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,1424
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,4586
164,E 47 St & 2 Ave,40.75323098,-73.97032517,1913
167,E 39 St & 3 Ave,40.7489006,-73.97604882,2992
168,W 18 St & 6 Ave,40.73971301,-73.99456405,5207
173,Broadway & W 49 St,40.76068327,-73.98452729,4423
174,E 25 St & 1 Ave,40.7381765,-73.97738662,3000
195,Liberty St & Broadway,40.70905623,-74.01043382,2790
212,W 16 St & The High Line,40.74334935,-74.00681753,3378
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,721
217,Old Fulton St,40.70277159,-73.99383605,2290
223,W 13 St & 7 Ave,40.73781509,-73.99994661,86
228,E 48 St & 3 Ave,40.7546011,-73.97187886,1832
229,Great Jones St,40.72743423,-73.99379025,5668
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,1129
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3932
237,E 11 St & 2 Ave,40.73047309,-73.98672378,4110
238,Bank St & Washington St,40.7361967,-74.00859207,669
239,Willoughby St & Fleet St,40.69196566,-73.9813018,2120
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,1084
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,988
243,Fulton St & Rockwell Pl,40.688226,-73.979382,828
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,1248
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,566
247,Perry St & Bleecker St,40.73535398,-74.00483091,2439
248,Laight St & Hudson St,40.72185379,-74.00771779,891
249,Harrison St & Hudson St,40.71870987,-74.0090009,1311
251,Mott St & Prince St,40.72317958,-73.99480012,3645
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,2683
253,W 13 St & 5 Ave,40.73543934,-73.99453948,207
254,W 11 St & 6 Ave,40.73532427,-73.99800419,4244
257,Lispenard St & Broadway,40.71939226,-74.00247214,1930
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1481
259,South St & Whitehall St,40.70122128,-74.01234218,1964
260,Broad St & Bridge St,40.70365182,-74.01167797,1165
261,Johnson St & Gold St,40.69474881,-73.98362464,1021
262,Washington Park,40.6917823,-73.9737299,940
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,1548
265,Stanton St & Chrystie St,40.72229346,-73.99147535,3506
266,Avenue D & E 8 St,40.72368361,-73.97574813,1247
267,Broadway & W 36 St,40.75097711,-73.98765428,2834
268,Howard St & Centre St,40.71910537,-73.99973337,3131
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1451
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,1373
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,762
276,Duane St & Greenwich St,40.71748752,-74.0104554,1601
278,Concord St & Bridge St,40.69766564,-73.98476437,590
279,Peck Slip & Front St,40.707873,-74.00167,2408
280,E 10 St & 5 Ave,40.73331967,-73.99510132,523
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,7144
282,Kent Ave & S 11 St,40.70764494,-73.96841526,1388
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,1897
285,Broadway & E 14 St,40.73454567,-73.99074142,7046
289,Monroe St & Classon Ave,40.6845683,-73.95881081,600
291,Madison St & Montgomery St,40.713126,-73.984844,1353
293,Lafayette St & E 8 St,40.73020661,-73.99102628,5973
295,Pike St & E Broadway,40.71406667,-73.99293911,2041
296,Division St & Bowery,40.71413089,-73.9970468,2248
297,E 15 St & 3 Ave,40.734232,-73.986923,4123
301,E 2 St & Avenue B,40.72217444,-73.98368779,3081
302,Avenue D & E 3 St,40.72082834,-73.97793172,1831
303,Mercer St & Spring St,40.72362738,-73.99949601,3072
304,Broadway & Battery Pl,40.70463334,-74.01361706,3267
305,E 58 St & 3 Ave,40.76095756,-73.96724467,3151
306,Cliff St & Fulton St_1,40.70823502,-74.00530063,1610
307,Canal St & Rutgers St,40.71427487,-73.98990025,3763
308,St James Pl & Oliver St,40.71307916,-73.99851193,1744
